word,display_form,part_of_speech,difficulty,frequency_rank,source,created_at,updated_at
abandon,abandon,,level_1,,,2025-08-29 16:02:32,2025-08-29 16:02:32
abandonment,abandonment,,level_1,,,2025-08-29 16:02:34,2025-08-29 16:02:34
abase,abase,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
abasement,abasement,n,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:34,2025-08-29 16:02:34
abash,abash,,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:34,2025-08-29 16:02:34
abate,abate,v,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33,2025-08-29 16:02:33
abatement,abatement,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
abbreviate,abbreviate,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
abdicate,abdicate,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
abduct,abduct,v,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33,2025-08-29 16:02:33
aberrance,aberrance,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
aberrancy,aberrancy,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
aberrant,aberrant,adj,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33,2025-08-29 16:02:33
aberration,aberration,n,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33,2025-08-29 16:02:33
abet,abet,v,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33,2025-08-29 16:02:33
abeyance,abeyance,,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:34,2025-08-29 16:02:34
abhor,abhor,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
abhorrence,abhorrence,n,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:34,2025-08-29 16:02:34
abhorrent,abhorrent,,level_1,,,2025-08-29 16:02:34,2025-08-29 16:02:34
abide,abide,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
abide by,abide by,,level_1,,,2025-08-29 16:02:32,2025-08-29 16:02:32
abject,abject,adj,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33,2025-08-29 16:02:33
abjection,abjection,,level_1,,,2025-08-29 16:02:34,2025-08-29 16:02:34
abjuration,abjuration,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
abjure,abjure,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
ablactate,ablactate,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
abnegation,abnegation,n,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:34,2025-08-29 16:02:34
abnormal,abnormal,adj,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33,2025-08-29 16:02:33
abode,abode,,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33,2025-08-29 16:02:33
abolish,abolish,v,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33,2025-08-29 16:02:33
abominable,abominable,,level_1,,,2025-08-29 16:02:34,2025-08-29 16:02:34
abominate,abominate,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
abomination,abomination,,level_1,,,2025-08-29 16:02:34,2025-08-29 16:02:34
aboriginal,aboriginal,,level_1,,,2025-08-29 16:02:34,2025-08-29 16:02:34
abortive,abortive,adj,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:34,2025-08-29 16:02:34
abound,abound,v,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33,2025-08-29 16:02:33
abrade,abrade,v,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:34,2025-08-29 16:02:34
abrase,abrase,,level_1,,,2025-08-29 16:02:34,2025-08-29 16:02:34
abrasion,abrasion,n,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33,2025-08-29 16:02:33
abreaction,abreaction,,level_1,,,2025-08-29 16:02:34,2025-08-29 16:02:34
abreast,abreast,adv,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33,2025-08-29 16:02:33
abridge,abridge,v,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33,2025-08-29 16:02:33
abridgement,abridgement,,level_1,,,2025-08-29 16:02:34,2025-08-29 16:02:34
abridgment,abridgment,n,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:34,2025-08-29 16:02:34
abroad,abroad,adv,hard,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:32,2025-08-29 16:02:32
abrogate,abrogate,v,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33,2025-08-29 16:02:33
abrupt,abrupt,adj,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33,2025-08-29 16:02:33
abscond,abscond,v,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:34,2025-08-29 16:02:34
absolute,absolute,,level_1,,,2025-08-29 16:02:32,2025-08-29 16:02:32
absolutism,absolutism,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
absolutist,absolutist,n,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:34,2025-08-29 16:02:34
absolve,absolve,v,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33,2025-08-29 16:02:33
absorb,absorb,v,hard,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:32,2025-08-29 16:02:32
absorbed,absorbed,,level_1,,,2025-08-29 16:02:32,2025-08-29 16:02:32
absquatulate,absquatulate,,level_1,,,2025-08-29 16:02:34,2025-08-29 16:02:34
abstain,abstain,v,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33,2025-08-29 16:02:33
abstainer,abstainer,,level_1,,,2025-08-29 16:02:34,2025-08-29 16:02:34
abstemious,abstemious,adj,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:34,2025-08-29 16:02:34
abstention,abstention,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
abstinence,abstinence,n,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33,2025-08-29 16:02:33
abstract,abstract,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
abstraction,abstraction,n,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33,2025-08-29 16:02:33
abstruse,abstruse,adj,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:34,2025-08-29 16:02:34
abstruseness,abstruseness,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
abstrusity,abstrusity,,level_1,,,2025-08-29 16:02:34,2025-08-29 16:02:34
absurd,absurd,adj,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33,2025-08-29 16:02:33
absurdity,absurdity,n,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33,2025-08-29 16:02:33
absurdness,absurdness,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
abundant,abundant,,level_1,,,2025-08-29 16:02:32,2025-08-29 16:02:32
abuse,abuse,,level_1,,,2025-08-29 16:02:34,2025-08-29 16:02:34
abusive,abusive,adj,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33,2025-08-29 16:02:33
abut,abut,v,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33,2025-08-29 16:02:33
aby,aby,,level_1,,,2025-08-29 16:02:34,2025-08-29 16:02:34
abye,abye,,level_1,,,2025-08-29 16:02:34,2025-08-29 16:02:34
abysm,abysm,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
abysmal,abysmal,adj,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33,2025-08-29 16:02:33
abyss,abyss,n,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33,2025-08-29 16:02:33
academe,academe,n,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33,2025-08-29 16:02:33
academia,academia,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
academic,academic,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
academician,academician,n,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33,2025-08-29 16:02:33
accede,accede,v,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33,2025-08-29 16:02:33
accelerate,accelerate,v,hard,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:32,2025-08-29 16:02:32
accelerator,accelerator,,level_1,,,2025-08-29 16:02:32,2025-08-29 16:02:32
accent,accent,,level_1,,,2025-08-29 16:02:32,2025-08-29 16:02:32
accentuate,accentuate,,level_1,,,2025-08-29 16:02:32,2025-08-29 16:02:32
acceptable,acceptable,adj,hard,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:32,2025-08-29 16:02:32
acceptance,acceptance,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
accessible,accessible,,level_1,,,2025-08-29 16:02:34,2025-08-29 16:02:34
accessory,accessory,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
accidental,accidental,n,hard,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:32,2025-08-29 16:02:32
acclaim,acclaim,v,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33,2025-08-29 16:02:33
acclamation,acclamation,n,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:34,2025-08-29 16:02:34
acclivity,acclivity,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
accolade,accolade,n,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33,2025-08-29 16:02:33
accommodate,accommodate,,level_1,,,2025-08-29 16:02:32,2025-08-29 16:02:32
accompaniment,accompaniment,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
accompany,accompany,v,hard,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:32,2025-08-29 16:02:32
accompanying,accompanying,,level_1,,,2025-08-29 16:02:32,2025-08-29 16:02:32
accomplish,accomplish,v,hard,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:32,2025-08-29 16:02:32
accord,accord,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
accordingly,Accordingly,,,,words - Sheet3.csv,2025-08-29 16:02:34,2025-08-29 16:02:34
accost,accost,v,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:34,2025-08-29 16:02:34
accountant,accountant,n,hard,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:32,2025-08-29 16:02:32
accrue,accrue,v,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33,2025-08-29 16:02:33
accumbent,accumbent,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
accumulate,accumulate,v,hard,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:32,2025-08-29 16:02:32
accumulation,accumulation,,level_1,,,2025-08-29 16:02:33,2025-08-29 16:02:33
accumulative,accumulative,,level_1,,,2025-08-29 16:02:32,2025-08-29 16:02:32
