word,display_form,part_of_speech,frequency_rank,source
abasement,abasement,n,,sesamewords_leveled_list_with_mnemonics.csv
abash,abash,,,sesamewords_leveled_list_with_mnemonics.csv
abate,abate,v,,sesamewords_leveled_list_with_mnemonics.csv
abduct,abduct,v,,sesamewords_leveled_list_with_mnemonics.csv
aberrant,aberrant,adj,,sesamewords_leveled_list_with_mnemonics.csv
aberration,aberration,n,,sesamewords_leveled_list_with_mnemonics.csv
abet,abet,v,,sesamewords_leveled_list_with_mnemonics.csv
abeyance,abeyance,,,sesamewords_leveled_list_with_mnemonics.csv
abhorrence,abhorrence,n,,sesamewords_leveled_list_with_mnemonics.csv
abject,abject,adj,,sesamewords_leveled_list_with_mnemonics.csv
abnegation,abnegation,n,,sesamewords_leveled_list_with_mnemonics.csv
abnormal,abnormal,adj,,sesamewords_leveled_list_with_mnemonics.csv
abode,abode,,,sesamewords_leveled_list_with_mnemonics.csv
abolish,abolish,v,,sesamewords_leveled_list_with_mnemonics.csv
abortive,abortive,adj,,sesamewords_leveled_list_with_mnemonics.csv
abound,abound,v,,sesamewords_leveled_list_with_mnemonics.csv
abrade,abrade,v,,sesamewords_leveled_list_with_mnemonics.csv
abrasion,abrasion,n,,sesamewords_leveled_list_with_mnemonics.csv
abreast,abreast,adv,,sesamewords_leveled_list_with_mnemonics.csv
abridge,abridge,v,,sesamewords_leveled_list_with_mnemonics.csv
abridgment,abridgment,n,,sesamewords_leveled_list_with_mnemonics.csv
abrogate,abrogate,v,,sesamewords_leveled_list_with_mnemonics.csv
abrupt,abrupt,adj,,sesamewords_leveled_list_with_mnemonics.csv
abscond,abscond,v,,sesamewords_leveled_list_with_mnemonics.csv
absolutist,absolutist,n,,sesamewords_leveled_list_with_mnemonics.csv
absolve,absolve,v,,sesamewords_leveled_list_with_mnemonics.csv
abstain,abstain,v,,sesamewords_leveled_list_with_mnemonics.csv
abstemious,abstemious,adj,,sesamewords_leveled_list_with_mnemonics.csv
abstinence,abstinence,n,,sesamewords_leveled_list_with_mnemonics.csv
abstraction,abstraction,n,,sesamewords_leveled_list_with_mnemonics.csv
abstruse,abstruse,adj,,sesamewords_leveled_list_with_mnemonics.csv
absurd,absurd,adj,,sesamewords_leveled_list_with_mnemonics.csv
absurdity,absurdity,n,,sesamewords_leveled_list_with_mnemonics.csv
abusive,abusive,adj,,sesamewords_leveled_list_with_mnemonics.csv
abut,abut,v,,sesamewords_leveled_list_with_mnemonics.csv
abysmal,abysmal,adj,,sesamewords_leveled_list_with_mnemonics.csv
abyss,abyss,n,,sesamewords_leveled_list_with_mnemonics.csv
academe,academe,n,,sesamewords_leveled_list_with_mnemonics.csv
academician,academician,n,,sesamewords_leveled_list_with_mnemonics.csv
accede,accede,v,,sesamewords_leveled_list_with_mnemonics.csv
acclaim,acclaim,v,,sesamewords_leveled_list_with_mnemonics.csv
acclamation,acclamation,n,,sesamewords_leveled_list_with_mnemonics.csv
accolade,accolade,n,,sesamewords_leveled_list_with_mnemonics.csv
accost,accost,v,,sesamewords_leveled_list_with_mnemonics.csv
accrue,accrue,v,,sesamewords_leveled_list_with_mnemonics.csv
acerbic,acerbic,adj,,sesamewords_leveled_list_with_mnemonics.csv
acetic,acetic,,,sesamewords_leveled_list_with_mnemonics.csv
acolyte,acolyte,n,,sesamewords_leveled_list_with_mnemonics.csv
acquiesce,acquiesce,v,,sesamewords_leveled_list_with_mnemonics.csv
acquittal,acquittal,n,,sesamewords_leveled_list_with_mnemonics.csv
acrimony,acrimony,n,,sesamewords_leveled_list_with_mnemonics.csv
acronym,acronym,n,,sesamewords_leveled_list_with_mnemonics.csv
acuity,acuity,n,,sesamewords_leveled_list_with_mnemonics.csv
acumen,acumen,n,,sesamewords_leveled_list_with_mnemonics.csv
adage,adage,n,,sesamewords_leveled_list_with_mnemonics.csv
adamant,adamant,adj,,sesamewords_leveled_list_with_mnemonics.csv
adaptable,adaptable,adj,,sesamewords_leveled_list_with_mnemonics.csv
adaptive,adaptive,adj,,sesamewords_leveled_list_with_mnemonics.csv
addle,addle,v,,sesamewords_leveled_list_with_mnemonics.csv
adept,adept,adj,,sesamewords_leveled_list_with_mnemonics.csv
adhere,adhere,v,,sesamewords_leveled_list_with_mnemonics.csv
adherence,adherence,n,,sesamewords_leveled_list_with_mnemonics.csv
adjunct,adjunct,n,,sesamewords_leveled_list_with_mnemonics.csv
admirable,admirable,,,sesamewords_leveled_list_with_mnemonics.csv
admire,admire,v,,sesamewords_leveled_list_with_mnemonics.csv
admonish,admonish,v,,sesamewords_leveled_list_with_mnemonics.csv
adoration,adoration,n,,sesamewords_leveled_list_with_mnemonics.csv
adorn,adorn,v,,sesamewords_leveled_list_with_mnemonics.csv
adroit,adroit,adj,,sesamewords_leveled_list_with_mnemonics.csv
adulation,adulation,n,,sesamewords_leveled_list_with_mnemonics.csv
adulterate,adulterate,v,,sesamewords_leveled_list_with_mnemonics.csv
adumbrate,adumbrate,v,,sesamewords_leveled_list_with_mnemonics.csv
advantageous,advantageous,adj,,sesamewords_leveled_list_with_mnemonics.csv
advent,advent,n,,sesamewords_leveled_list_with_mnemonics.csv
adventurous,adventurous,adj,,sesamewords_leveled_list_with_mnemonics.csv
adversary,adversary,n,,sesamewords_leveled_list_with_mnemonics.csv
aerate,aerate,v,,sesamewords_leveled_list_with_mnemonics.csv
aerie,aerie,n,,sesamewords_leveled_list_with_mnemonics.csv
aesthete,aesthete,n,,sesamewords_leveled_list_with_mnemonics.csv
aesthetic,aesthetic,adj,,sesamewords_leveled_list_with_mnemonics.csv
affectation,affectation,n,,sesamewords_leveled_list_with_mnemonics.csv
