word,display_form,part_of_speech,frequency_rank,source
abroad,abroad,adv,,sesamewords_leveled_list_with_mnemonics.csv
absorb,absorb,v,,sesamewords_leveled_list_with_mnemonics.csv
accelerate,accelerate,v,,sesamewords_leveled_list_with_mnemonics.csv
acceptable,acceptable,adj,,sesamewords_leveled_list_with_mnemonics.csv
accidental,accidental,n,,sesamewords_leveled_list_with_mnemonics.csv
accompany,accompany,v,,sesamewords_leveled_list_with_mnemonics.csv
accomplish,accomplish,v,,sesamewords_leveled_list_with_mnemonics.csv
accountant,accountant,n,,sesamewords_leveled_list_with_mnemonics.csv
accumulate,accumulate,v,,sesamewords_leveled_list_with_mnemonics.csv
accuse,accuse,v,,sesamewords_leveled_list_with_mnemonics.csv
acknowledge,acknowledge,v,,sesamewords_leveled_list_with_mnemonics.csv
acute,acute,adj,,sesamewords_leveled_list_with_mnemonics.csv
adapt,adapt,v,,sesamewords_leveled_list_with_mnemonics.csv
adaptation,adaptation,n,,sesamewords_leveled_list_with_mnemonics.csv
addiction,addiction,n,,sesamewords_leveled_list_with_mnemonics.csv
adequate,adequate,adj,,sesamewords_leveled_list_with_mnemonics.csv
adjacent,adjacent,adj,,sesamewords_leveled_list_with_mnemonics.csv
adjust,adjust,v,,sesamewords_leveled_list_with_mnemonics.csv
administer,administer,v,,sesamewords_leveled_list_with_mnemonics.csv
adolescent,adolescent,n,,sesamewords_leveled_list_with_mnemonics.csv
adverse,adverse,adj,,sesamewords_leveled_list_with_mnemonics.csv
advocacy,advocacy,n,,sesamewords_leveled_list_with_mnemonics.csv
advocate,advocate,v,,sesamewords_leveled_list_with_mnemonics.csv
affordable,affordable,adj,,sesamewords_leveled_list_with_mnemonics.csv
aggregate,aggregate,adj,,sesamewords_leveled_list_with_mnemonics.csv
aggressive,aggressive,adj,,sesamewords_leveled_list_with_mnemonics.csv
alias,alias,n,,sesamewords_leveled_list_with_mnemonics.csv
allege,allege,v,,sesamewords_leveled_list_with_mnemonics.csv
alliance,alliance,n,,sesamewords_leveled_list_with_mnemonics.csv
allocate,allocate,v,,sesamewords_leveled_list_with_mnemonics.csv
alloy,alloy,v,,sesamewords_leveled_list_with_mnemonics.csv
ally,ally,n,,sesamewords_leveled_list_with_mnemonics.csv
alter,alter,v,,sesamewords_leveled_list_with_mnemonics.csv
anatomy,anatomy,n,,sesamewords_leveled_list_with_mnemonics.csv
anchor,anchor,v,,sesamewords_leveled_list_with_mnemonics.csv
anger,anger,n,,sesamewords_leveled_list_with_mnemonics.csv
angry,angry,adj,,sesamewords_leveled_list_with_mnemonics.csv
animate,animate,v,,sesamewords_leveled_list_with_mnemonics.csv
annex,annex,v,,sesamewords_leveled_list_with_mnemonics.csv
annotate,annotate,v,,sesamewords_leveled_list_with_mnemonics.csv
anxiety,anxiety,n,,sesamewords_leveled_list_with_mnemonics.csv
apparent,apparent,adj,,sesamewords_leveled_list_with_mnemonics.csv
appearance,appearance,n,,sesamewords_leveled_list_with_mnemonics.csv
appoint,appoint,v,,sesamewords_leveled_list_with_mnemonics.csv
appointment,appointment,n,,sesamewords_leveled_list_with_mnemonics.csv
appreciate,appreciate,v,,sesamewords_leveled_list_with_mnemonics.csv
appreciation,appreciation,,,sesamewords_leveled_list_with_mnemonics.csv
appropriation,appropriation,n,,sesamewords_leveled_list_with_mnemonics.csv
aquatic,aquatic,n,,sesamewords_leveled_list_with_mnemonics.csv
arbitrary,arbitrary,adj,,sesamewords_leveled_list_with_mnemonics.csv
arcade,arcade,n,,sesamewords_leveled_list_with_mnemonics.csv
argue,argue,v,,sesamewords_leveled_list_with_mnemonics.csv
arrange,arrange,v,,sesamewords_leveled_list_with_mnemonics.csv
arrest,arrest,v,,sesamewords_leveled_list_with_mnemonics.csv
artificial,artificial,adj,,sesamewords_leveled_list_with_mnemonics.csv
artistic,artistic,adj,,sesamewords_leveled_list_with_mnemonics.csv
ascend,ascend,v,,sesamewords_leveled_list_with_mnemonics.csv
assemble,assemble,v,,sesamewords_leveled_list_with_mnemonics.csv
assert,assert,v,,sesamewords_leveled_list_with_mnemonics.csv
assumption,assumption,n,,sesamewords_leveled_list_with_mnemonics.csv
assurance,assurance,n,,sesamewords_leveled_list_with_mnemonics.csv
assure,assure,v,,sesamewords_leveled_list_with_mnemonics.csv
atlas,atlas,n,,sesamewords_leveled_list_with_mnemonics.csv
attain,attain,v,,sesamewords_leveled_list_with_mnemonics.csv
attitude,attitude,n,,sesamewords_leveled_list_with_mnemonics.csv
attractive,attractive,adj,,sesamewords_leveled_list_with_mnemonics.csv
aurora,aurora,,,sesamewords_leveled_list_with_mnemonics.csv
authentic,authentic,adj,,sesamewords_leveled_list_with_mnemonics.csv
automate,automate,v,,sesamewords_leveled_list_with_mnemonics.csv
ban,ban,v,,sesamewords_leveled_list_with_mnemonics.csv
barrier,barrier,n,,sesamewords_leveled_list_with_mnemonics.csv
behalf,behalf,n,,sesamewords_leveled_list_with_mnemonics.csv
belief,belief,n,,sesamewords_leveled_list_with_mnemonics.csv
beneficial,beneficial,adj,,sesamewords_leveled_list_with_mnemonics.csv
beneficiary,beneficiary,n,,sesamewords_leveled_list_with_mnemonics.csv
bias,bias,n,,sesamewords_leveled_list_with_mnemonics.csv
bitter,bitter,adj,,sesamewords_leveled_list_with_mnemonics.csv
bizarre,bizarre,adj,,sesamewords_leveled_list_with_mnemonics.csv
blend,blend,v,,sesamewords_leveled_list_with_mnemonics.csv
bloom,bloom,v,,sesamewords_leveled_list_with_mnemonics.csv
bolt,bolt,v,,sesamewords_leveled_list_with_mnemonics.csv
boom,boom,v,,sesamewords_leveled_list_with_mnemonics.csv
bore,bore,,,sesamewords_leveled_list_with_mnemonics.csv
boundless,boundless,,,sesamewords_leveled_list_with_mnemonics.csv
breach,breach,v,,sesamewords_leveled_list_with_mnemonics.csv
brilliant,brilliant,adj,,sesamewords_leveled_list_with_mnemonics.csv
brochure,brochure,n,,sesamewords_leveled_list_with_mnemonics.csv
broken,broken,,,sesamewords_leveled_list_with_mnemonics.csv
brook,brook,n,,sesamewords_leveled_list_with_mnemonics.csv
bulk,bulk,n,,sesamewords_leveled_list_with_mnemonics.csv
burden,burden,n,,sesamewords_leveled_list_with_mnemonics.csv
cant,cant,n,,sesamewords_leveled_list_with_mnemonics.csv
canyon,canyon,n,,sesamewords_leveled_list_with_mnemonics.csv
capable,capable,adj,,sesamewords_leveled_list_with_mnemonics.csv
capsule,capsule,,,sesamewords_leveled_list_with_mnemonics.csv
caption,caption,v,,sesamewords_leveled_list_with_mnemonics.csv
cargo,cargo,n,,sesamewords_leveled_list_with_mnemonics.csv
casual,casual,adj,,sesamewords_leveled_list_with_mnemonics.csv
catalyst,catalyst,n,,sesamewords_leveled_list_with_mnemonics.csv
cater,cater,v,,sesamewords_leveled_list_with_mnemonics.csv
catholic,catholic,n,,sesamewords_leveled_list_with_mnemonics.csv
cease,cease,v,,sesamewords_leveled_list_with_mnemonics.csv
celebrate,celebrate,v,,sesamewords_leveled_list_with_mnemonics.csv
cellular,cellular,adj,,sesamewords_leveled_list_with_mnemonics.csv
census,census,n,,sesamewords_leveled_list_with_mnemonics.csv
champion,champion,n,,sesamewords_leveled_list_with_mnemonics.csv
chaos,chaos,n,,sesamewords_leveled_list_with_mnemonics.csv
