word,display_form,part_of_speech,frequency_rank,source
abandon,abandon,,,
abandonment,abandonment,,,
abase,abase,,,
abatement,abatement,,,
abbreviate,abbreviate,,,
abdicate,abdicate,,,
aberrance,aberrance,,,
aberrancy,aberrancy,,,
abhor,abhor,,,
abhorrent,abhorrent,,,
abide,abide,,,
abide by,abide by,,,
abjection,abjection,,,
abjuration,abjuration,,,
abjure,abjure,,,
ablactate,ablactate,,,
abominable,abominable,,,
abominate,abominate,,,
abomination,abomination,,,
aboriginal,aboriginal,,,
abrase,abrase,,,
abreaction,abreaction,,,
abridgement,abridgement,,,
absolute,absolute,,,
absolutism,absolutism,,,
absorbed,absorbed,,,
absquatulate,absquatulate,,,
abstainer,abstainer,,,
abstention,abstention,,,
abstract,abstract,,,
abstruseness,abstruseness,,,
abstrusity,abstrusity,,,
absurdness,absurdness,,,
abundant,abundant,,,
abuse,abuse,,,
aby,aby,,,
abye,abye,,,
abysm,abysm,,,
academia,academia,,,
academic,academic,,,
accelerator,accelerator,,,
accent,accent,,,
accentuate,accentuate,,,
acceptance,acceptance,,,
accessible,accessible,,,
accessory,accessory,,,
acclivity,acclivity,,,
accommodate,accommodate,,,
accompaniment,accompaniment,,,
accompanying,accompanying,,,
accord,accord,,,
accumbent,accumbent,,,
accumulation,accumulation,,,
accumulative,accumulative,,,
accurate,accurate,,,
accustomed,accustomed,,,
ace,ace,,,
acerb,acerb,,,
acerbate,acerbate,,,
acerbity,acerbity,,,
achieve,achieve,,,
achievement,achievement,,,
acid,acid,,,
acknowledgement,acknowledgement,,,
acknowledgment,acknowledgment,,,
acme,acme,,,
acquaintance,acquaintance,,,
acquiescence,acquiescence,,,
acquit,acquit,,,
acrid,acrid,,,
acrimonious,acrimonious,,,
action,action,,,
action for change,action for change,,,
activate,activate,,,
activity,activity,,,
actual,actual,,,
actuate,actuate,,,
ad valorem tax,ad valorem tax,,,
ad-lib,ad-lib,,,
adamantine,adamantine,,,
adaptative,adaptative,,,
add on,add on,,,
address,address,,,
