word,display_form,part_of_speech,difficulty,frequency_rank
abandon,abandon,,level_1,
abandonment,abandonment,,level_1,
abase,abase,,level_1,
abatement,abatement,,level_1,
abbreviate,abbreviate,,level_1,
abdicate,abdicate,,level_1,
aberrance,aberrance,,level_1,
aberrancy,aberrancy,,level_1,
abhor,abhor,,level_1,
abhorrent,abhorrent,,level_1,
abide,abide,,level_1,
abide by,abide by,,level_1,
abjection,abjection,,level_1,
abjuration,abjuration,,level_1,
abjure,abjure,,level_1,
ablactate,ablactate,,level_1,
abominable,abominable,,level_1,
abominate,abominate,,level_1,
abomination,abomination,,level_1,
aboriginal,aboriginal,,level_1,
abrase,abrase,,level_1,
abreaction,abreaction,,level_1,
abridgement,abridgement,,level_1,
absolute,absolute,,level_1,
absolutism,absolutism,,level_1,
absorbed,absorbed,,level_1,
absquatulate,absquatulate,,level_1,
abstainer,abstainer,,level_1,
abstention,abstention,,level_1,
abstract,abstract,,level_1,
abstruseness,abstruseness,,level_1,
abstrusity,abstrusity,,level_1,
absurdness,absurdness,,level_1,
abundant,abundant,,level_1,
abuse,abuse,,level_1,
aby,aby,,level_1,
abye,abye,,level_1,
abysm,abysm,,level_1,
academia,academia,,level_1,
academic,academic,,level_1,
accelerator,accelerator,,level_1,
accent,accent,,level_1,
accentuate,accentuate,,level_1,
acceptance,acceptance,,level_1,
accessible,accessible,,level_1,
accessory,accessory,,level_1,
acclivity,acclivity,,level_1,
accommodate,accommodate,,level_1,
accompaniment,accompaniment,,level_1,
accompanying,accompanying,,level_1,
accord,accord,,level_1,
accumbent,accumbent,,level_1,
accumulation,accumulation,,level_1,
accumulative,accumulative,,level_1,
accurate,accurate,,level_1,
accustomed,accustomed,,level_1,
ace,ace,,level_1,
acerb,acerb,,level_1,
acerbate,acerbate,,level_1,
acerbity,acerbity,,level_1,
achieve,achieve,,level_1,
achievement,achievement,,level_1,
acid,acid,,level_1,
acknowledgement,acknowledgement,,level_1,
acknowledgment,acknowledgment,,level_1,
acme,acme,,level_1,
acquaintance,acquaintance,,level_1,
acquiescence,acquiescence,,level_1,
acquit,acquit,,level_1,
acrid,acrid,,level_1,
acrimonious,acrimonious,,level_1,
action,action,,level_1,
action for change,action for change,,level_1,
activate,activate,,level_1,
activity,activity,,level_1,
actual,actual,,level_1,
actuate,actuate,,level_1,
ad valorem tax,ad valorem tax,,level_1,
ad-lib,ad-lib,,level_1,
adamantine,adamantine,,level_1,
adaptative,adaptative,,level_1,
add on,add on,,level_1,
address,address,,level_1,
adeptness,adeptness,,level_1,
adherent,adherent,,level_1,
adhesion,adhesion,,level_1,
adiposis,adiposis,,level_1,
adjoin,adjoin,,level_1,
adjudicate,adjudicate,,level_1,
adjure,adjure,,level_1,
adjuvant,adjuvant,,level_1,
administrate,administrate,,level_1,
admirer,admirer,,level_1,
admit,admit,,level_1,
adopt,adopt,,level_1,
adoring,adoring,,level_1,
adulthood,adulthood,,level_1,
advance,advance,,level_1,
advanced,advanced,,level_1,
advantage,advantage,,level_1,
adventure,adventure,,level_1,
adventuresome,adventuresome,,level_1,
adversity,adversity,,level_1,
advert,advert,,level_1,
advise,advise,,level_1,
advocator,advocator,,level_1,
aeon,aeon,,level_1,
aeonian,aeonian,,level_1,
aerial,aerial,,level_1,
aeriform,aeriform,,level_1,
aery,aery,,level_1,
aesthesis,aesthesis,,level_1,
aesthetical,aesthetical,,level_1,
affable,affable,,level_1,
affair,affair,,level_1,
affaire,affaire,,level_1,
affect,affect,,level_1,
affectedness,affectedness,,level_1,
affecting,affecting,,level_1,
affectionate,affectionate,,level_1,
affectionateness,affectionateness,,level_1,
affiance,affiance,,level_1,
affiliate,affiliate,,level_1,
affix,affix,,level_1,
afford,afford,,level_1,
affranchise,affranchise,,level_1,
affray,affray,,level_1,
affright,affright,,level_1,
ageless,ageless,,level_1,
aggrandise,aggrandise,,level_1,
aggrandize,aggrandize,,level_1,
aggregated,aggregated,,level_1,
aggregative,aggregative,,level_1,
aggressiveness,aggressiveness,,level_1,
agitate,agitate,,level_1,
aglow,aglow,,level_1,
agonising,agonising,,level_1,
agonizing,agonizing,,level_1,
agree,agree,,level_1,
agreeing,agreeing,,level_1,
agreement,agreement,,level_1,
agricultural,agricultural,,level_1,
aim,aim,,level_1,
air,air,,level_1,
air castle,air castle,,level_1,
air out,air out,,level_1,
airdock,airdock,,level_1,
airing,airing,,level_1,
airt,airt,,level_1,
airy,airy,,level_1,
alarm,alarm,,level_1,
alert,alert,,level_1,
alien,alien,,level_1,
alignment,alignment,,level_1,
aliment,aliment,,level_1,
alimental,alimental,,level_1,
alimentary,alimentary,,level_1,
alimentation,alimentation,,level_1,
alinement,alinement,,level_1,
all the same,all the same,,level_1,
allay,allay,,level_1,
allegory,allegory,,level_1,
alleviant,alleviant,,level_1,
alleviate,alleviate,,level_1,
alleviator,alleviator,,level_1,
allocation,allocation,,level_1,
allotment,allotment,,level_1,
allure,allure,,level_1,
allurement,allurement,,level_1,
alluvion,alluvion,,level_1,
alone,alone,,level_1,
alterative,alterative,,level_1,
alternate,alternate,,level_1,
altruist,altruist,,level_1,
amalgamate,amalgamate,,level_1,
amalgamation,amalgamation,,level_1,
amass,amass,,level_1,
amative,amative,,level_1,
