word,display_form,part_of_speech,difficulty,frequency_rank
abasement,abasement,n,SAT,
abash,abash,,SAT,
abate,abate,v,SAT,
abduct,abduct,v,SAT,
aberrant,aberrant,adj,SAT,
aberration,aberration,n,SAT,
abet,abet,v,SAT,
abeyance,abeyance,,SAT,
abhorrence,abhorrence,n,SAT,
abject,abject,adj,SAT,
abnegation,abnegation,n,SAT,
abnormal,abnormal,adj,SAT,
abode,abode,,SAT,
abolish,abolish,v,SAT,
abortive,abortive,adj,SAT,
abound,abound,v,SAT,
abrade,abrade,v,SAT,
abrasion,abrasion,n,SAT,
abreast,abreast,adv,SAT,
abridge,abridge,v,SAT,
abridgment,abridgment,n,SAT,
abroad,abroad,adv,hard,
abrogate,abrogate,v,SAT,
abrupt,abrupt,adj,SAT,
abscond,abscond,v,SAT,
absolutist,absolutist,n,SAT,
absolve,absolve,v,SAT,
absorb,absorb,v,hard,
abstain,abstain,v,SAT,
abstemious,abstemious,adj,SAT,
abstinence,abstinence,n,SAT,
abstraction,abstraction,n,SAT,
abstruse,abstruse,adj,SAT,
absurd,absurd,adj,SAT,
absurdity,absurdity,n,SAT,
abusive,abusive,adj,SAT,
abut,abut,v,SAT,
abysmal,abysmal,adj,SAT,
abyss,abyss,n,SAT,
academe,academe,n,SAT,
academician,academician,n,SAT,
accede,accede,v,SAT,
accelerate,accelerate,v,hard,
acceptable,acceptable,adj,hard,
accidental,accidental,n,hard,
acclaim,acclaim,v,SAT,
acclamation,acclamation,n,SAT,
accolade,accolade,n,SAT,
accompany,accompany,v,hard,
accomplish,accomplish,v,hard,
accost,accost,v,SAT,
accountant,accountant,n,hard,
accrue,accrue,v,SAT,
accumulate,accumulate,v,hard,
accuse,accuse,v,hard,
acerbic,acerbic,adj,SAT,
acetic,acetic,,SAT,
acknowledge,acknowledge,v,hard,
acolyte,acolyte,n,SAT,
acquiesce,acquiesce,v,SAT,
acquittal,acquittal,n,SAT,
acrimony,acrimony,n,SAT,
acronym,acronym,n,SAT,
acuity,acuity,n,SAT,
acumen,acumen,n,SAT,
acute,acute,adj,hard,
adage,adage,n,SAT,
adamant,adamant,adj,SAT,
adapt,adapt,v,hard,
adaptable,adaptable,adj,SAT,
adaptation,adaptation,n,hard,
adaptive,adaptive,adj,SAT,
addiction,addiction,n,hard,
addle,addle,v,SAT,
adept,adept,adj,SAT,
adequate,adequate,adj,hard,
adhere,adhere,v,SAT,
adherence,adherence,n,SAT,
adjacent,adjacent,adj,hard,
adjunct,adjunct,n,SAT,
adjust,adjust,v,hard,
administer,administer,v,hard,
admirable,admirable,,SAT,
admire,admire,v,SAT,
admonish,admonish,v,SAT,
adolescent,adolescent,n,hard,
adoration,adoration,n,SAT,
adorn,adorn,v,SAT,
adroit,adroit,adj,SAT,
adulation,adulation,n,SAT,
adulterate,adulterate,v,SAT,
adumbrate,adumbrate,v,SAT,
advantageous,advantageous,adj,SAT,
advent,advent,n,SAT,
adventurous,adventurous,adj,SAT,
adversary,adversary,n,SAT,
adverse,adverse,adj,hard,
advocacy,advocacy,n,hard,
advocate,advocate,v,hard,
aerate,aerate,v,SAT,
aerie,aerie,n,SAT,
aesthete,aesthete,n,SAT,
aesthetic,aesthetic,adj,SAT,
affectation,affectation,n,SAT,
affection,affection,n,SAT,
affinity,affinity,n,SAT,
affirm,affirm,v,SAT,
affirmation,affirmation,n,SAT,
afflict,afflict,v,SAT,
affliction,affliction,n,SAT,
affluence,affluence,n,SAT,
affluent,affluent,n,SAT,
affordable,affordable,adj,hard,
affront,affront,v,SAT,
aggravate,aggravate,v,SAT,
aggregate,aggregate,adj,hard,
aggregation,aggregation,n,SAT,
aggression,aggression,n,SAT,
aggressive,aggressive,adj,hard,
aghast,aghast,adj,SAT,
agile,agile,adj,SAT,
agility,agility,,SAT,
agitation,agitation,n,SAT,
agnostic,agnostic,n,SAT,
agony,agony,n,SAT,
agrarian,agrarian,adj,SAT,
ailment,ailment,n,SAT,
ajar,ajar,adj,SAT,
akin,akin,adj,SAT,
alacrity,alacrity,,SAT,
albeit,albeit,,SAT,
alchemy,alchemy,n,SAT,
alcove,alcove,n,SAT,
alias,alias,n,hard,
alienate,alienate,v,SAT,
alight,alight,v,SAT,
alimony,alimony,n,SAT,
allege,allege,v,hard,
alliance,alliance,n,hard,
allocate,allocate,v,hard,
allot,allot,v,SAT,
alloy,alloy,v,hard,
allude,allude,v,SAT,
allusion,allusion,n,SAT,
allusive,allusive,adj,SAT,
ally,ally,n,hard,
aloft,aloft,adv,SAT,
aloof,aloof,adj,SAT,
alter,alter,v,hard,
alteration,alteration,n,SAT,
altercation,altercation,n,SAT,
altitude,altitude,n,SAT,
altruism,altruism,n,SAT,
altruistic,altruistic,adj,SAT,
amalgam,amalgam,n,SAT,
ambiguity,ambiguity,n,SAT,
ambiguous,ambiguous,adj,SAT,
ambition,ambition,n,SAT,
ambitious,ambitious,adj,SAT,
ambivalence,ambivalence,n,SAT,
ambivalent,ambivalent,adj,SAT,
amble,amble,v,SAT,
ambulatory,ambulatory,,SAT,
ameliorate,ameliorate,v,SAT,
amenable,amenable,adj,SAT,
amicable,amicable,adj,SAT,
amiss,amiss,adj,SAT,
amity,amity,n,SAT,
amnesia,amnesia,n,SAT,
amnesty,amnesty,v,SAT,
amoral,amoral,,SAT,
amorous,amorous,adj,SAT,
amorphous,amorphous,adj,SAT,
amplify,amplify,v,SAT,
amulet,amulet,n,SAT,
amuse,amuse,v,SAT,
anachronism,anachronism,n,SAT,
anachronistic,anachronistic,adj,SAT,
analogous,analogous,adj,SAT,
analogy,analogy,n,SAT,
anarchist,anarchist,n,SAT,
anarchy,anarchy,n,SAT,
anathema,anathema,n,SAT,
anatomy,anatomy,n,hard,
anchor,anchor,v,hard,
ancillary,ancillary,adj,SAT,
anecdote,anecdote,n,SAT,
anemia,anemia,n,SAT,
anger,anger,n,hard,
angry,angry,adj,hard,
anguish,anguish,n,SAT,
angular,angular,adj,SAT,
animate,animate,v,hard,
animosity,animosity,n,SAT,
animus,animus,n,SAT,
annals,annals,n,SAT,
annex,annex,v,hard,
annexation,annexation,n,SAT,
annotate,annotate,v,hard,
annuity,annuity,n,SAT,
anoint,anoint,v,SAT,
anomalous,anomalous,adj,SAT,
anomaly,anomaly,n,SAT,
anonymity,anonymity,n,SAT,
antagonism,antagonism,n,SAT,
antagonistic,antagonistic,adj,SAT,
antagonize,antagonize,v,SAT,
antecedent,antecedent,n,SAT,
anthem,anthem,n,SAT,
anthology,anthology,n,SAT,
anthropology,anthropology,n,SAT,
anticlimax,anticlimax,n,SAT,
antidote,antidote,n,SAT,
antipodes,antipodes,,SAT,
antiquate,antiquate,,SAT,
antiseptic,antiseptic,,SAT,
antisocial,antisocial,adj,SAT,
antithesis,antithesis,n,SAT,
anxiety,anxiety,n,hard,
anxious,anxious,adj,SAT,
apartheid,apartheid,n,SAT,
apathy,apathy,n,SAT,
aperture,aperture,n,SAT,
apex,apex,n,SAT,
aphasia,aphasia,n,SAT,
aphorism,aphorism,n,SAT,
apiary,apiary,n,SAT,
aplomb,aplomb,n,SAT,
apocalyptic,apocalyptic,adj,SAT,
apocryphal,apocryphal,adj,SAT,
apogee,apogee,n,SAT,
apologetic,apologetic,adj,SAT,
apologize,apologize,,SAT,
apology,apology,n,SAT,
apostate,apostate,n,SAT,
apotheosis,apotheosis,n,SAT,
apparent,apparent,adj,hard,
apparition,apparition,n,SAT,
appearance,appearance,n,hard,
appease,appease,v,SAT,
append,append,v,SAT,
applaud,applaud,v,SAT,
appoint,appoint,v,hard,
appointment,appointment,n,hard,
apportionment,apportionment,n,SAT,
appreciate,appreciate,v,hard,
appreciation,appreciation,,hard,
apprehension,apprehension,n,SAT,
apprehensive,apprehensive,adj,SAT,
apprentice,apprentice,n,SAT,
apprenticeship,apprenticeship,n,SAT,
apprise,apprise,v,SAT,
approachable,approachable,adj,SAT,
approbation,approbation,n,SAT,
appropriation,appropriation,n,hard,
approximation,approximation,n,SAT,
apropos,apropos,adv,SAT,
aptitude,aptitude,n,SAT,
aquatic,aquatic,n,hard,
arable,arable,adj,SAT,
arbiter,arbiter,n,SAT,
arbitrary,arbitrary,adj,hard,
arboreal,arboreal,adj,SAT,
arcade,arcade,n,hard,
arcane,arcane,adj,SAT,
archaic,archaic,adj,SAT,
archetype,archetype,n,SAT,
archipelago,archipelago,n,SAT,
ardent,ardent,adj,SAT,
arduous,arduous,adj,SAT,
argue,argue,v,hard,
argumentative,argumentative,adj,SAT,
aria,aria,n,SAT,
arid,arid,adj,SAT,
armada,armada,n,SAT,
arousal,arousal,n,SAT,
arraign,arraign,v,SAT,
arrange,arrange,v,hard,
arrears,arrears,n,SAT,
arrest,arrest,v,hard,
arrogance,arrogance,n,SAT,
arrogant,arrogant,adj,SAT,
arroyo,arroyo,,SAT,
arsenal,arsenal,n,SAT,
articulate,articulate,v,SAT,
artifact,artifact,n,SAT,
artifice,artifice,n,SAT,
artificial,artificial,adj,hard,
artisan,artisan,n,SAT,
artistic,artistic,adj,hard,
artistry,artistry,,SAT,
ascend,ascend,v,hard,
ascendant,ascendant,,SAT,
ascent,ascent,n,SAT,
ascetic,ascetic,n,SAT,
ascribe,ascribe,v,SAT,
aseptic,aseptic,adj,SAT,
askance,askance,,SAT,
askew,askew,adv,SAT,
aspersion,aspersion,,SAT,
aspire,aspire,v,SAT,
assail,assail,v,SAT,
assay,assay,v,SAT,
assemble,assemble,v,hard,
assent,assent,n,SAT,
assert,assert,v,hard,
assertion,assertion,,SAT,
assertive,assertive,adj,SAT,
assiduous,assiduous,adj,SAT,
assimilate,assimilate,v,SAT,
assumption,assumption,n,hard,
assurance,assurance,n,hard,
assure,assure,v,hard,
astonishment,astonishment,n,SAT,
astound,astound,v,SAT,
astral,astral,adj,SAT,
astrology,astrology,n,SAT,
astute,astute,adj,SAT,
asunder,asunder,adv,SAT,
asylum,asylum,n,SAT,
atavism,atavism,,SAT,
atlas,atlas,n,hard,
atone,atone,v,SAT,
atrocity,atrocity,n,SAT,
atrophy,atrophy,n,SAT,
attain,attain,v,hard,
attentive,attentive,adj,SAT,
attenuate,attenuate,v,SAT,
attire,attire,n,SAT,
attitude,attitude,n,hard,
attractive,attractive,adj,hard,
attribution,attribution,n,SAT,
attrition,attrition,n,SAT,
atypical,atypical,adj,SAT,
audible,audible,adj,SAT,
augment,augment,v,SAT,
augury,augury,n,SAT,
aural,aural,adj,SAT,
aureole,aureole,n,SAT,
aurora,aurora,,hard,
auspice,auspice,,SAT,
auspicious,auspicious,adj,SAT,
austerity,austerity,n,SAT,
authentic,authentic,adj,hard,
authenticate,authenticate,v,SAT,
authoritarian,authoritarian,adj,SAT,
authoritative,authoritative,adj,SAT,
