word,display_form,part_of_speech,difficulty,frequency_rank,source,created_at
euphony,euphony,,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:34
euphoric,euphoric,adj,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:34
evade,evade,v,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33
evanescent,evanescent,adj,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:34
evangelist,evangelist,,level_1,,,2025-08-29 16:02:34
evaporate,evaporate,v,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33
evasion,evasion,,level_1,,,2025-08-29 16:02:34
evasive,evasive,adj,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33
even off,even off,,level_1,,,2025-08-29 16:02:33
even out,even out,,level_1,,,2025-08-29 16:02:33
even so,even so,,level_1,,,2025-08-29 16:02:32
even up,even up,,level_1,,,2025-08-29 16:02:33
evenfall,evenfall,,level_1,,,2025-08-29 16:02:33
evenhanded,evenhanded,,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:34
event,event,,level_1,,,2025-08-29 16:02:32
eventful,eventful,,level_1,,,2025-08-29 16:02:33
eventual,eventual,adj,hard,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:32
eventuality,eventuality,,level_1,,,2025-08-29 16:02:33
everlasting,everlasting,,level_1,,,2025-08-29 16:02:33
everyday,everyday,,level_1,,,2025-08-29 16:02:33
evict,evict,v,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33
evidence,evidence,,level_1,,,2025-08-29 16:02:33
evident,evident,,level_1,,,2025-08-29 16:02:32
evildoing,evildoing,,level_1,,,2025-08-29 16:02:33
evince,evince,v,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:34
evocative,evocative,adj,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33
evoke,evoke,,level_1,,,2025-08-29 16:02:32
evolution,evolution,n,hard,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:32
evolve,evolve,v,hard,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:32
ewe,ewe,n,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33
exacerbate,exacerbate,,level_1,,,2025-08-29 16:02:33
exactitude,Exactitude,,,,words - Sheet2.csv,2025-08-29 16:02:34
exaggerate,exaggerate,v,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33
exaggeration,exaggeration,,level_1,,,2025-08-29 16:02:34
exalt,exalt,,level_1,,,2025-08-29 16:02:32
exaltation,exaltation,,level_1,,,2025-08-29 16:02:33
exalted,exalted,,level_1,,,2025-08-29 16:02:33
examination,examination,,level_1,,,2025-08-29 16:02:33
examine,examine,,level_1,,,2025-08-29 16:02:32
example,example,,level_1,,,2025-08-29 16:02:33
exasperate,exasperate,,level_1,,,2025-08-29 16:02:33
excavate,excavate,v,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33
exceed,exceed,,level_1,,,2025-08-29 16:02:33
exceeding,exceeding,,level_1,,,2025-08-29 16:02:32
excel,excel,v,hard,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:32
excellent,excellent,,level_1,,,2025-08-29 16:02:32
exceptional,exceptional,adj,hard,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:32
excerpt,excerpt,v,hard,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:32
excess,excess,n,hard,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:32
excessive,excessive,adj,hard,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:32
exchange,exchange,,level_1,,,2025-08-29 16:02:32
exchangeable,exchangeable,adj,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:34
